epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,8052.53,0.7433,0.50949,0.88447,0.94612,0.94675,0.95704,0.64423,1.20852,0.5878,1.22698,0.00037135,0.00037135,0.00037135
129,8118.61,0.89181,0.50962,0.99035,0.94919,0.94476,0.95971,0.65076,1.19478,0.58143,1.22449,0.0003664,0.0003664,0.0003664
130,8185.29,0.79514,0.50718,0.94089,0.95117,0.95538,0.95643,0.6326,1.24356,0.59576,1.24746,0.00036145,0.00036145,0.00036145
131,8252.53,0.75133,0.48904,0.92212,0.95312,0.95528,0.95745,0.63974,1.2268,0.58861,1.24058,0.0003565,0.0003565,0.0003565
132,8316.71,0.81361,0.50719,0.95761,0.95906,0.95295,0.95452,0.64004,1.19664,0.5877,1.22152,0.00035155,0.00035155,0.00035155
133,8380.68,0.75962,0.4848,0.92597,0.95821,0.95207,0.95066,0.63505,1.20538,0.58293,1.24371,0.0003466,0.0003466,0.0003466
134,8443.93,0.67741,0.49622,0.85192,0.95649,0.95332,0.95356,0.64235,1.20037,0.58004,1.2456,0.00034165,0.00034165,0.00034165
135,8509.56,0.73567,0.46976,0.90929,0.96176,0.94344,0.95609,0.63849,1.20826,0.56736,1.25103,0.0003367,0.0003367,0.0003367
136,8574.19,0.83517,0.48525,0.96419,0.95322,0.9439,0.95862,0.64516,1.18844,0.5586,1.23212,0.00033175,0.00033175,0.00033175
137,8638.39,0.74397,0.78576,0.93924,0.96167,0.94424,0.95937,0.64915,1.18655,0.56536,1.24429,0.0003268,0.0003268,0.0003268
138,8702.97,0.73246,0.49019,0.91395,0.95871,0.93083,0.96005,0.656,1.15961,0.56043,1.21631,0.00032185,0.00032185,0.00032185
139,8767.02,0.89216,0.64822,1.0104,0.93709,0.94904,0.95851,0.6668,1.16069,0.56747,1.22129,0.0003169,0.0003169,0.0003169
140,8831.75,0.80814,0.49964,0.95407,0.95564,0.93217,0.95534,0.65567,1.18998,0.56161,1.27747,0.00031195,0.00031195,0.00031195
141,8896.49,0.69819,0.462,0.9054,0.93814,0.94896,0.95109,0.65213,1.17401,0.56278,1.25573,0.000307,0.000307,0.000307
142,8960.03,0.70836,0.45189,0.91566,0.95548,0.94561,0.95432,0.64996,1.16089,0.56849,1.21518,0.00030205,0.00030205,0.00030205
143,9023.99,0.72848,0.49037,0.90884,0.96915,0.94621,0.95807,0.64823,1.15743,0.55629,1.21212,0.0002971,0.0002971,0.0002971
144,9088.43,0.72792,0.45976,0.91028,0.93578,0.94955,0.95323,0.63444,1.17579,0.56538,1.24228,0.00029215,0.00029215,0.00029215
145,9153.65,0.77234,0.57244,0.93763,0.93097,0.94807,0.95213,0.64873,1.1763,0.56668,1.23116,0.0002872,0.0002872,0.0002872
